"","","","edge_btw"
"337","Giannis Antetokounmpo","Jared Dudley","49.0412409890999"
"338","Giannis Antetokounmpo","Zaza Pachulia","72.5983180414394"
"339","Giannis Antetokounmpo","Brandon Knight","22.4059375033136"
"340","Giannis Antetokounmpo","DJ Stephens","49.1464202222174"
"341","Giannis Antetokounmpo","Ekpe Udoh","49.4251242328876"
"342","Khris Middleton","Eric Bledsoe","22.8200984223353"
"343","Khris Middleton","Malcolm Brogdon","11.8702720139306"
"344","Khris Middleton","Brook Lopez","31.6061438272872"
"345","Khris Middleton","Christian Wood","23.1811926576426"
"346","Khris Middleton","Pat Connaughton","34.2293866573677"
"347","Khris Middleton","Ersan Ilyasova","21.1930836655031"
"348","Khris Middleton","Sterling Brown","16.9464372229405"
"349","Khris Middleton","Tony Snell","14.7074692951702"
"350","Khris Middleton","Matthew Dellavedova","16.7055106467603"
"351","Khris Middleton","D.J. Wilson","16.9464372229405"
"352","Khris Middleton","John Henson","2.96029186885405"
"353","Khris Middleton","Thon Maker","11.8702720139306"
"354","Khris Middleton","Bonzie Colson","24.2854873299985"
"355","Khris Middleton","Donte DiVincenzo","24.2854873299985"
"356","Khris Middleton","Jaylen Morris","14.8703952737178"
"357","Khris Middleton","Trevon Duval","24.2854873299985"
"358","Khris Middleton","Jabari Parker","24.9860957397245"
"359","Khris Middleton","Greg Monroe","27.9505945063869"
"360","Khris Middleton","Gary Payton II","26.8647288025282"
"361","Khris Middleton","Miles Plumlee","37.2398600344753"
"362","Khris Middleton","Michael Beasley","67.6644640337228"
"363","Khris Middleton","Michael Carter-Williams","47.4725733363274"
"364","Khris Middleton","Jerryd Bayless","75.0688447173593"
"365","Khris Middleton","Jared Dudley","48.0146058488056"
"366","Khris Middleton","Zaza Pachulia","59.9366389473041"
"367","Khris Middleton","Brandon Knight","21.1464607869339"
"368","Khris Middleton","DJ Stephens","50.2000517195183"
"369","Khris Middleton","Ekpe Udoh","40.528451797565"
"370","Khris Middleton","Andre Drummond","34.7016187460585"
"371","Khris Middleton","Jonas Jerebko","75.6744018606343"
"372","Eric Bledsoe","Malcolm Brogdon","53.8803160437725"
"373","Eric Bledsoe","Brook Lopez","41.3253791075227"
"374","Eric Bledsoe","Christian Wood","45.9291760208988"
"375","Eric Bledsoe","Pat Connaughton","53.5450276757191"
"376","Eric Bledsoe","Ersan Ilyasova","28.1812515740756"
"377","Eric Bledsoe","Sterling Brown","72.0447852661043"
"378","Eric Bledsoe","Tony Snell","43.6442646464654"
"379","Eric Bledsoe","Matthew Dellavedova","36.282092230292"
"380","Eric Bledsoe","D.J. Wilson","72.0447852661043"
"381","Eric Bledsoe","John Henson","21.789235550231"
"382","Eric Bledsoe","Thon Maker","53.8803160437725"
"383","Eric Bledsoe","Bonzie Colson","86.8463118318667"
"384","Eric Bledsoe","Donte DiVincenzo","86.8463118318667"
"385","Eric Bledsoe","Jaylen Morris","54.0052939822463"
"386","Eric Bledsoe","Trevon Duval","86.8463118318667"
"387","Eric Bledsoe","Shaquille Harrison","48.9043362747485"
"388","Eric Bledsoe","Tyler Ulis","41.1166531374052"
"389","Eric Bledsoe","Alex Len","24.7894976274858"
"390","Eric Bledsoe","Derrick Jones Jr.","55.7918383552688"
"391","Eric Bledsoe","Jared Dudley","23.7523607748629"
"392","Eric Bledsoe","Alan Williams","31.8732675953624"
"393","Eric Bledsoe","Davon Reed","58.9581868321951"
"394","Eric Bledsoe","Marquese Chriss","36.0088127543547"
"395","Eric Bledsoe","Devin Booker","35.7433056986711"
"396","Eric Bledsoe","Josh Jackson","47.1194444802555"
"397","Eric Bledsoe","Troy Daniels","56.1859606011098"
"398","Eric Bledsoe","Dragan Bender","40.6033374748844"
"399","Eric Bledsoe","Tyson Chandler","33.5592547536128"
"400","Eric Bledsoe","PJ Tucker","23.748964423304"
"401","Eric Bledsoe","Brandon Knight","20.3616640108146"
"402","Eric Bledsoe","John Jenkins","38.311260432091"
"403","Eric Bledsoe","Jon Leuer","34.2374258267643"
"404","Eric Bledsoe","Lorenzo Brown","60.568117889908"
"405","Eric Bledsoe","Markieff Morris","24.6041120490285"
"406","Eric Bledsoe","Jordan McRae","31.5562861280158"
"407","Eric Bledsoe","Marcus Morris","72.0853006842162"
"408","Eric Bledsoe","Miles Plumlee","29.5755664799793"
"409","Eric Bledsoe","Goran Dragic","41.7985657435288"
"410","Eric Bledsoe","Isaiah Thomas","129.404953884173"
"411","Eric Bledsoe","Gerald Green","42.7365352316425"
"412","Eric Bledsoe","Anthony Tolliver","66.8891806716717"
"413","Eric Bledsoe","Channing Frye","70.596212164423"
"414","Eric Bledsoe","Ish Smith","51.5375488536349"
"415","Eric Bledsoe","DeAndre Jordan","116.852475596317"
"416","Eric Bledsoe","Blake Griffin","54.048562267301"
"417","Eric Bledsoe","Chris Paul","35.6153658178688"
"418","Eric Bledsoe","Jamal Crawford","53.6730289228414"
"419","Eric Bledsoe","Eric Gordon","42.2751757511774"
"420","Malcolm Brogdon","Brook Lopez","54.3993774044533"
"421","Malcolm Brogdon","Christian Wood","35.5260572628798"
"422","Malcolm Brogdon","Pat Connaughton","30.7740652890284"
"423","Malcolm Brogdon","Ersan Ilyasova","51.5318748460426"
"424","Malcolm Brogdon","Sterling Brown","2.96295866435072"
"425","Malcolm Brogdon","Tony Snell","18.8500840840819"
"426","Malcolm Brogdon","Matthew Dellavedova","15.6387539050547"
"427","Malcolm Brogdon","D.J. Wilson","2.96295866435072"
"428","Malcolm Brogdon","John Henson","12.1821067779035"
"429","Malcolm Brogdon","Thon Maker","1"
"430","Malcolm Brogdon","Bonzie Colson","6.35778940341673"
"431","Malcolm Brogdon","Donte DiVincenzo","6.35778940341673"
"432","Malcolm Brogdon","Jaylen Morris","13.9052381803947"
"433","Malcolm Brogdon","Trevon Duval","6.35778940341673"
"434","Malcolm Brogdon","Jabari Parker","28.3845758856898"
"435","Malcolm Brogdon","Greg Monroe","42.7860483804957"
"436","Malcolm Brogdon","Gary Payton II","24.3364617803021"
"437","Malcolm Brogdon","Miles Plumlee","63.9975086776983"
"438","Malcolm Brogdon","Michael Beasley","96.4353760491325"
